Workload,SwitchingOverhead
1,37600.000000
5,58509.000000
10,65423.000000
500,542596.000000
1000,1434586.000000
25,48781.000000
50,211544.000000
2500,483305.000000
5000,929182.000000
100,72525.000000
10000,1119399.000000
250000,695835.000000
500000,1297449.000000
1000000,1644025.000000
125,92093.000000
250,71814.000000
12500,684555.000000
25000,1141584.000000
50000,1065538.000000
1250000,891300.000000
2500000,1413146.000000
5000000,2004320.000000
100000,1206925.000000
10000000,1371574.000000
125000000,1549032.000000
250000000,1773120.000000
500000000,2050213.000000
1000000000,2714425.000000
