Workload,SwitchingOverhead
1,29105.000000
5,44233.000000
10,66575.000000
50,289396.000000
100,178825.000000
500,633375.000000
1000,861792.000000
25,64432.000000
250,128109.000000
2500,572424.000000
5000,823883.000000
10000,464482.000000
25000,537638.000000
50000,783369.000000
100000,1154441.000000
250000,837583.000000
500000,1212293.000000
1000000,1444379.000000
125,63809.000000
1250,130846.000000
12500,622304.000000
125000,624263.000000
1250000,711974.000000
2500000,159010.000000
5000000,1333489.000000
10000000,702136.000000
12500000,428303.000000
25000000,1662523.000000
50000000,1792167.000000
100000000,435527.000000
125000000,1193014.000000
250000000,1800857.000000
500000000,2483116.000000
1000000000,2846859.000000
