no.of threads,exec time in ns
1,250891664
2,132137487
3,115213333
4,93231552
5,101630151
6,109255927
7,105221066
8,82759475
9,80277322
10,86249999
11,96741837
12,81696312
13,92722290
14,77857357
15,82011124
16,79487040
17,87056294
18,83140457
19,83547034
20,74978699
21,81850028
22,75778718
23,75725708
24,70124119
25,71624365
26,70400531
27,63816664
28,80854978
29,68755328
30,67393837
31,64798196
32,68602268
33,65224230
34,70046064
35,72562985
36,73473290
37,69924759
38,67246712
39,66533134
40,73641310
41,79789386
42,73299244
43,70591121
44,78756986
45,71008270
46,75145370
47,66217983
48,61334919
49,66552689
50,66399858
51,65296395
52,62427177
53,64385415
54,67036530
55,83409769
56,82647330
57,77130086
58,82708566
59,79858106
60,72359626
61,74752665
62,91948562
63,83543803
64,84240577
