Workload,TurnAroundP1,TurnAroundP2
1,150361.000000,151162.000000
5,172525.000000,172726.000000
10,178733.000000,178913.000000
500,1060888.000000,1060927.000000
1000,2494333.000000,2494533.000000
25,171933.000000,172112.000000
50,318376.000000,316643.000000
2500,1074914.000000,1075065.000000
5000,1995570.000000,1996492.000000
100,184166.000000,184336.000000
10000,2626695.000000,2626916.000000
250000,1532386.000000,1529401.000000
500000,2623682.000000,2623782.000000
1000000,3375253.000000,3375434.000000
125,245780.000000,245911.000000
250,213470.000000,213400.000000
12500,1243695.000000,1244687.000000
25000,2384483.000000,2384644.000000
50000,2534777.000000,2534908.000000
1250000,1859899.000000,1953474.000000
2500000,2844655.000000,4652242.000000
5000000,3555933.000000,6853994.000000
100000,2739859.000000,4022493.000000
10000000,2819619.000000,10333111.000000
125000000,3239464.000000,81749199.000000
250000000,3882280.000000,191379990.000000
500000000,4464395.000000,319661816.000000
1000000000,5816284.000000,623127600.000000
