Workload,WaitTimeP1,WaitTimeP2
1,110338.000000,103593.000000
5,129334.000000,128281.000000
10,138510.000000,133467.000000
500,870441.000000,889526.000000
1000,2139557.000000,2057967.000000
25,121909.000000,125075.000000
50,275986.000000,281727.000000
2500,914834.000000,835887.000000
5000,1496162.000000,1665433.000000
100,135996.000000,143798.000000
10000,2155168.000000,1879306.000000
250000,1230901.000000,1190915.000000
500000,2041868.000000,2218834.000000
1000000,2759364.000000,2722200.000000
125,196718.000000,179546.000000
250,170159.000000,144080.000000
12500,1038742.000000,1025984.000000
25000,1932992.000000,1911501.000000
50000,2126381.000000,1771098.000000
1250000,1500907.000000,1461425.000000
2500000,2270023.000000,2401933.000000
5000000,3016175.000000,2854487.000000
100000,2278523.000000,1967759.000000
10000000,2344949.000000,2161902.000000
125000000,2676706.000000,2573036.000000
250000000,3164605.000000,2994055.000000
500000000,3745133.000000,3520415.000000
1000000000,4869961.000000,4520256.000000
