Workload,WaitTimeP1,WaitTimeP2
1,103385.000000,100138.000000
5,102583.000000,106419.000000
10,157014.000000,147606.000000
50,395105.000000,472629.000000
100,605536.000000,509855.000000
500,1116674.000000,1119387.000000
1000,1369752.000000,1401232.000000
25,187941.000000,174970.000000
250,239588.000000,249249.000000
2500,923150.000000,917092.000000
5000,1345214.000000,1337070.000000
10000,891236.000000,793179.000000
25000,1397606.000000,1544742.000000
50000,1586693.000000,1790307.000000
100000,2029366.000000,1990772.000000
250000,1316448.000000,1336255.000000
500000,2442726.000000,2321688.000000
1000000,2731682.000000,2466170.000000
125,134333.000000,124986.000000
1250,236441.000000,243895.000000
12500,1041531.000000,1348511.000000
125000,1347478.000000,1221722.000000
1250000,1187230.000000,1148326.000000
2500000,283451.000000,307336.000000
5000000,2241081.000000,2168000.000000
10000000,1069442.000000,1104490.000000
12500000,809326.000000,710240.000000
25000000,2709060.000000,2555203.000000
50000000,3459463.000000,3212432.000000
100000000,727365.000000,740347.000000
125000000,2346225.000000,2088656.000000
250000000,3080052.000000,3023213.000000
500000000,4011849.000000,4100769.000000
1000000000,5359161.000000,4891107.000000
